Dataset,Tweet,GT Target,GT Stance,Gemini Target,Gemini Stance,LLaMA Target,LLaMA Stance,Qwen Target,Qwen Stance,similar targets,cleaned_tweet
VAST Implicit,"""the CVS cashier who couldn't figure out how to give me 15 cents in change because ""we ain't got no dimes"" Society trembles as it awaits the day when this mindset trickles up and into the neuro-surgery operating room. (Think lobotomies performed en masse.) The mindset is already par for the course in the halls of government. Lobotomized.",people,AGAINST,State of Education,AGAINST,CVS,NONE,society,AGAINST,"['State of Education', 'CVS', 'society']",the CVS cashier who couldn't figure out how to give me 15 cents in change because we ain't got no dimes Society trembles as it awaits the day when this mindset trickles up and into the neuro-surgery operating room. Think lobotomies performed en masse. The mindset is already par for the course in the halls of government. Lobotomized.
VAST Implicit,"""we Christians who profess orthodox forms of the faith cannot reject it without doing serious violence to the truth,"" There is no ""Truth"". There are only facts, and points of view. And your point of view is just one view among many. It carries no sanctity, though you may imagine it does. The universe is diverse. So diverse that no two anything are the same. No two leaves in all the forests, no two grains of sand in all the beaches in the world. Your idea of any kind of constant, physical or ethical is an illusion that you persist on believing... your faith. That is your choice. Please do not inflict it on me.",a harmful atmosphere for gays,AGAINST,Christianity,AGAINST,Christians,NONE,truth,AGAINST,"['Christianity', 'Christians', 'truth']","we Christians who profess orthodox forms of the faith cannot reject it without doing serious violence to the truth, There is no Truth . There are only facts, and points of view. And your point of view is just one view among many. It carries no sanctity, though you may imagine it does. The universe is diverse. So diverse that no two anything are the same. No two leaves in all the forests, no two grains of sand in all the beaches in the world. Your idea of any kind of constant, physical or ethical is an illusion that you persist on believing. your faith. That is your choice. Please do not inflict it on me."
VAST Implicit,"""when peach baskets were nailed to the railing of the running track at the Springfield, Mass., Teachers College one day in 1891, they were hung at 10 feet -- because that was how high the railing was."" A strange argument for never changing the height of the basket. If it was arbitrary to begin with, why should it be treated as the holy grail now?",rim,AGAINST,Height of basketball hoop,AGAINST,basketball,NONE,basket,AGAINST,"['Height of basketball hoop', 'basketball', 'basket']","when peach baskets were nailed to the railing of the running track at the Springfield, Mass., Teachers College one day in 1891, they were hung at 10 feet -- because that was how high the railing was. A strange argument for never changing the height of the basket. If it was arbitrary to begin with, why should it be treated as the holy grail now?"
VAST Implicit,"#1, children educated at home turn out to be better socialized than their public schooled counterparts. They are more likely to vote, more likely to get involved in government, and more likely to volunteer for various charitable activities. And, on average, they are better educated. Sending one's children to a public school is on average, the bad decision. While there are good public schools and good public school teachers, there are also countless schools where children do not learn, are not safe (from other students and teachers), and do not get properly socialized. I know this from countless studies and personal experience. My three children, educated at home from birth, are all national merit finalists and prepared to deal with people in the real world because they were in the real world their entire lives, rather than being segregated by age and demographic in a public (aka government compulsory) school. And, I am the graduate of the esteemed Miami-Dade County Public School system, possibly the most corrupt, crime ridden, drug-infested institution in the country.",homeschooling,FAVOR,Homeschooling,FAVOR,Public Schools,AGAINST,public school,AGAINST,"['Homeschooling', 'Public Schools', 'public school']","1, children educated at home turn out to be better socialized than their public schooled counterparts. They are more likely to vote, more likely to get involved in government, and more likely to volunteer for various charitable activities. And, on average, they are better educated. Sending one's children to a public school is on average, the bad decision. While there are good public schools and good public school teachers, there are also countless schools where children do not learn, are not safe from other students and teachers , and do not get properly socialized. I know this from countless studies and personal experience. My three children, educated at home from birth, are all national merit finalists and prepared to deal with people in the real world because they were in the real world their entire lives, rather than being segregated by age and demographic in a public aka government compulsory school. And, I am the graduate of the esteemed Miami-Dade County Public School system, possibly the most corrupt, crime ridden, drug-infested institution in the country."
VAST Implicit,"#10 has stated the facts. Any firm --even a quasi-government firm--- can release anyone for any reason at anytime except the reasons he has mentioned, Wake up, employees, the government protects your freedom of speech. You can't be arrested for burning the Koran, Bible, Torah, flag, effigies of anyone --as long as it's not considered to be a build up to a physical threat. HOWEVER, your employer may choose to fire you for any of these reasons although these activities are done outside of the work day. There is no recourse. Salam Al-Marayati would be well in his rights. Shariah law has nothing to do with this.",public workers,AGAINST,Freedom of Speech,FAVOR,Shariah law,AGAINST,employees,NONE,"['Freedom of Speech', 'Shariah law', 'employees']","10 has stated the facts. Any firm --even a quasi-government firm--- can release anyone for any reason at anytime except the reasons he has mentioned, Wake up, employees, the government protects your freedom of speech. You can't be arrested for burning the Koran, Bible, Torah, flag, effigies of anyone --as long as it's not considered to be a build up to a physical threat. HOWEVER, your employer may choose to fire you for any of these reasons although these activities are done outside of the work day. There is no recourse. Salam Al-Marayati would be well in his rights. Shariah law has nothing to do with this."
VAST Implicit,"#12 elizabeth: Right on about the continued importance of French! French is spoken as a native or near-native language by something like 200 million people (most of whom are not French). If you add a few hundred million more non-native speakers and consider the global distribution of places where French is important to commerce and politics, it is obviously one of the most widely spoken and influential languages in the world - and the numbers are growing, not falling. French-speaking Africa is experiencing some of the highest rates of population growth in the world, and incidentally contains a large chunk of the world's untapped supplies of oil, uranium, and other natural resources. Meanwhile, France is the only major European power whose population is actually growing, and is on track to become Western Europe's most populous country in just a few decades; so the future of French as a pan-European language also looks bright. So yes, French is a heavy hitter as global languages go. In some parts of the world, it is indispensable for diplomacy and business. So maybe - just maybe - it would be a good idea for our universities to keep teaching it.",colleges,FAVOR,French Language,FAVOR,French,FAVOR,French,FAVOR,"['French Language', 'French', 'French']","12 elizabeth Right on about the continued importance of French! French is spoken as a native or near-native language by something like 200 million people most of whom are not French . If you add a few hundred million more non-native speakers and consider the global distribution of places where French is important to commerce and politics, it is obviously one of the most widely spoken and influential languages in the world - and the numbers are growing, not falling. French-speaking Africa is experiencing some of the highest rates of population growth in the world, and incidentally contains a large chunk of the world's untapped supplies of oil, uranium, and other natural resources. Meanwhile, France is the only major European power whose population is actually growing, and is on track to become Western Europe's most populous country in just a few decades so the future of French as a pan-European language also looks bright. So yes, French is a heavy hitter as global languages go. In some parts of the world, it is indispensable for diplomacy and business. So maybe - just maybe - it would be a good idea for our universities to keep teaching it."
VAST Implicit,"#21 is right so far as this is a legal issue re. employee/employer. But enough's enough. Let people speak their minds. These are tough times; there's lot's to be upset about. Less repression and less what's essentially sanctimonious PR by the complainers might do us more good in the long run. The point of a right to free speech is precisely that some people's opinions about important things are bound to offend (i.e., really offend) some other people (and draw negative attention). So, we (the right thinking one's among us) are offended, uncomfortable, squirming; get over it.",public workers,FAVOR,Free Speech,FAVOR,right thinking,FAVOR,free speech,FAVOR,"['Free Speech', 'right thinking', 'free speech']","21 is right so far as this is a legal issue re. employee employer. But enough's enough. Let people speak their minds. These are tough times there's lot's to be upset about. Less repression and less what's essentially sanctimonious PR by the complainers might do us more good in the long run. The point of a right to free speech is precisely that some people's opinions about important things are bound to offend i.e., really offend some other people and draw negative attention . So, we the right thinking one's among us are offended, uncomfortable, squirming get over it."
VAST Implicit,"#28 Areg: ""Most people don't seem to realize that Amy Chua's 'Chinese parenting' style is nothing new. It's the same Western parenting style from mid-19th century.... It took us 150 years to move away from all that, just in order to 'rediscover' it again in her essay"" That old Western parenting style that you and others now deride brought us the Industrial Revolution and earlier the Enlightenment. If the Chinese follow that parenting style I'm certain the next Big Thing (postmodernism doesn't count as an achievement) will be Chinese.",greater success,FAVOR,Chinese parenting,FAVOR,Chinese parenting,AGAINST,Western parenting style,FAVOR,"['Chinese parenting', 'Chinese parenting', 'Western parenting style']","28 Areg Most people don't seem to realize that Amy Chua's 'Chinese parenting' style is nothing new. It's the same Western parenting style from mid-19th century. It took us 150 years to move away from all that, just in order to 'rediscover' it again in her essay That old Western parenting style that you and others now deride brought us the Industrial Revolution and earlier the Enlightenment. If the Chinese follow that parenting style I'm certain the next Big Thing postmodernism doesn't count as an achievement will be Chinese."
VAST Implicit,. Do alcohol and marijuana affect some users negatively? Absolutely. Should minors be allowed to legally consume either one? No. But the war on drugs is a failure. All it does is promote violence and enrich big time drug dealers and the utterly corrupt interdiction apparatus both in the U.S. and abroad. I don't endorse the use of either marijuana or alcohol. But making them illegal protects no one.,pot,FAVOR,War on drugs,AGAINST,war on drugs,AGAINST,marijuana,AGAINST,"['War on drugs', 'war on drugs', 'marijuana']",. Do alcohol and marijuana affect some users negatively? Absolutely. Should minors be allowed to legally consume either one? No. But the war on drugs is a failure. All it does is promote violence and enrich big time drug dealers and the utterly corrupt interdiction apparatus both in the U.S. and abroad. I don't endorse the use of either marijuana or alcohol. But making them illegal protects no one.
VAST Implicit,"...food pornography, musical pornography, mental pornography...' And yet I have never been in a public library and seen a man at a computer masturbating under his coat to videos of food, music, or anything 'mental', so let's no pretend they are all the same beast, okay?",,,,,mental pornography,AGAINST,public library,NONE,"[nan, 'mental pornography', 'public library']",".food pornography, musical pornography, mental pornography.' And yet I have never been in a public library and seen a man at a computer masturbating under his coat to videos of food, music, or anything 'mental', so let's no pretend they are all the same beast, okay?"
VAST Implicit,"1. Bangladesh / Rohinga --population unsustainable = boat people. 2. Middle East- desert cannot feed the excess children = genocidal wars to reduce population. 3. WW1 & WW2 - Europe could not provide enough jobs for its blossoming population = 100 million killed. 4. Mao's grreat leap forward ? 100 million slaughtered = one child policy -> working 5. Catholics overbreeding Protestants = Northern Ireland's' troubles'. 6. Palestinian Arabs deliberate demographic overbreeding = continued war with Israel. 7. Young Muslim males without brides = rape ,torture,conquest Boko Harem, ISIS. ....solution BIRTH CONTROL or war -take your pick.",overcrowd,AGAINST,BIRTH CONTROL,FAVOR,Boko Harem,AGAINST,birth control,NONE,"['BIRTH CONTROL', 'Boko Harem', 'birth control']","1. Bangladesh Rohinga --population unsustainable boat people. 2. Middle East- desert cannot feed the excess children genocidal wars to reduce population. 3. WW1 WW2 - Europe could not provide enough jobs for its blossoming population 100 million killed. 4. Mao's grreat leap forward ? 100 million slaughtered one child policy - working 5. Catholics overbreeding Protestants Northern Ireland's' troubles'. 6. Palestinian Arabs deliberate demographic overbreeding continued war with Israel. 7. Young Muslim males without brides rape ,torture,conquest Boko Harem, ISIS. .solution BIRTH CONTROL or war -take your pick."
VAST Implicit,"1. Managers should be required to disclose weaknesses to shareholders in all companies, and potential shareholders in publicly traded companies, 2. Companies that do business with the Federal government, especially those with defense contracts, should be required to disclose hacking attempts as a matter of national security. 3. Companies who maintain databases of customers that include personal and financial information, including credit card numbers, Social Security numbers, and other such data, should be required to disclose hacking attacks to their customers. Now there may be some companies out there who don't fall under one of those three categories, but I think that pretty much covers the waterfront.",consumers,FAVOR,Corporate Transparency,FAVOR,companies,FAVOR,hacking,AGAINST,"['Corporate Transparency', 'companies', 'hacking']","1. Managers should be required to disclose weaknesses to shareholders in all companies, and potential shareholders in publicly traded companies, 2. Companies that do business with the Federal government, especially those with defense contracts, should be required to disclose hacking attempts as a matter of national security. 3. Companies who maintain databases of customers that include personal and financial information, including credit card numbers, Social Security numbers, and other such data, should be required to disclose hacking attacks to their customers. Now there may be some companies out there who don't fall under one of those three categories, but I think that pretty much covers the waterfront."
VAST Implicit,"59% of California's non elderly Medicaid recipients are Hispanic. Large portions of California, from the Mexican border, through LA, and up the spine of the state to Sacramento, have been overrun with illegal immigrants. As a group, they are poorly educated, low earning, and their families are on the full array of entitlements from birth. Some model.",immigration,AGAINST,Illegal immigrants,AGAINST,California,AGAINST,immigrants,AGAINST,"['Illegal immigrants', 'California', 'immigrants']","59 of California's non elderly Medicaid recipients are Hispanic. Large portions of California, from the Mexican border, through LA, and up the spine of the state to Sacramento, have been overrun with illegal immigrants. As a group, they are poorly educated, low earning, and their families are on the full array of entitlements from birth. Some model."
VAST Implicit,"> machines can truly learn and think in a human way This is somewhere between meaningless and wrong. AlphaGo did not win because it learns and thinks in a human way, whatever that means. It won because it played better moves based on an algorithm which has nothing to do human mental processes. It might be good to find debaters who actually know what they are talking about. Calling for some undefined overhaul in our education system to deal with an era of smarter machines sounds good, but actually doesn't mean anything. We cannot even overhaul our education system so kids can read and write and do arithmetic; how are we going to overhaul it to deal with smart machines?",the upper hand,AGAINST,Artificial Intelligence,AGAINST,AlphaGo,NONE,human way,AGAINST,"['Artificial Intelligence', 'AlphaGo', 'human way']","machines can truly learn and think in a human way This is somewhere between meaningless and wrong. AlphaGo did not win because it learns and thinks in a human way, whatever that means. It won because it played better moves based on an algorithm which has nothing to do human mental processes. It might be good to find debaters who actually know what they are talking about. Calling for some undefined overhaul in our education system to deal with an era of smarter machines sounds good, but actually doesn't mean anything. We cannot even overhaul our education system so kids can read and write and do arithmetic how are we going to overhaul it to deal with smart machines?"
VAST Implicit,">> ""Many parents will purchase educational materials to use at home to foster a love of learning in their children."" That sounds all well in good in a rose-coloured-glasses kind of way, but the unvarnished truth is that parents home-school because they dont like the cirriculum at a public school. Maybe it's not fundamentalist enough -- which I suspect is the major reason for home schooling, given that about the only place I see home-schooling materials on sale is at conservative Christian bookstores. These parents have opted out of the system and think they can just walk away from their obligation to society in general? Sorry, sir, but no. They made the choice and they must live with the consequences. I will never raise children, but I understand the necessity of paying local school taxes. If these parents are going off the education grid, so be it -- but they must understand they do it on their own volition. They can no more walk away from their obligation to pay school taxes than I can, and for them (and you!) to claim otherwise is providing a truly lousy example to their children of what citizenship means.",home-school,AGAINST,Homeschooling,AGAINST,home schooling,AGAINST,parents,AGAINST,"['Homeschooling', 'home schooling', 'parents']","Many parents will purchase educational materials to use at home to foster a love of learning in their children. That sounds all well in good in a rose-coloured-glasses kind of way, but the unvarnished truth is that parents home-school because they dont like the cirriculum at a public school. Maybe it's not fundamentalist enough -- which I suspect is the major reason for home schooling, given that about the only place I see home-schooling materials on sale is at conservative Christian bookstores. These parents have opted out of the system and think they can just walk away from their obligation to society in general? Sorry, sir, but no. They made the choice and they must live with the consequences. I will never raise children, but I understand the necessity of paying local school taxes. If these parents are going off the education grid, so be it -- but they must understand they do it on their own volition. They can no more walk away from their obligation to pay school taxes than I can, and for them and you! to claim otherwise is providing a truly lousy example to their children of what citizenship means."
VAST Implicit,"??? Reparations??? OK that means damage was done and the descendants of those who were brought to what is now the USA would need to prove they would be better off living under the Boko Haram. Keep in mind -- those who were slaves in the Americas were also slaves in Africa -- and were under the Islamic slave trade when sold to the Triangle Trade merchants. Thus slaves=slaves and they again need to show they, via their ancestors, are worse off by not having remained slaves in Africa. Then to there is apportionment ... would payments be made on the percentages of African DNA ? ??? or just based on skin color ??? Most people with African slave ancestors also have a larger percentage of DNA from Europe. Thus, only the slave percentage warrants consideration in the discussion -- the European portion is not due anything.",reperations,AGAINST,Reparations,AGAINST,African slave ancestors,NONE,Reparations,NONE,"['Reparations', 'African slave ancestors', 'Reparations']","? Reparations? OK that means damage was done and the descendants of those who were brought to what is now the USA would need to prove they would be better off living under the Boko Haram. Keep in mind -- those who were slaves in the Americas were also slaves in Africa -- and were under the Islamic slave trade when sold to the Triangle Trade merchants. Thus slaves slaves and they again need to show they, via their ancestors, are worse off by not having remained slaves in Africa. Then to there is apportionment . would payments be made on the percentages of African DNA ? ? or just based on skin color ? Most people with African slave ancestors also have a larger percentage of DNA from Europe. Thus, only the slave percentage warrants consideration in the discussion -- the European portion is not due anything."
VAST Implicit,"????Are Americans collectively dumb as a nation???? What other nation is stupid enough to fight a war to beat its enemies, and then goes back in and spends billions to build them up again? And again. What other nation is stupid enough to get involved in wars between murderous factions within the same country who have been killing each other for a thousand years? What other nation would destroy its major manufacturing businesses, and put millions of its citizens out of jobs, by sending the work overseas. What other nation would tolerate disgraceful music, TV and movies for its young that features the lowest in human degradation masquerading as entertainment?",people,AGAINST,American Foreign Policy,AGAINST,stupid nation,NONE,war,AGAINST,"['American Foreign Policy', 'stupid nation', 'war']","?Are Americans collectively dumb as a nation? What other nation is stupid enough to fight a war to beat its enemies, and then goes back in and spends billions to build them up again? And again. What other nation is stupid enough to get involved in wars between murderous factions within the same country who have been killing each other for a thousand years? What other nation would destroy its major manufacturing businesses, and put millions of its citizens out of jobs, by sending the work overseas. What other nation would tolerate disgraceful music, TV and movies for its young that features the lowest in human degradation masquerading as entertainment?"
VAST Implicit,"A LOT depends on where one lives. Someone in frozen areas like Alaska,(a head of lettuce is $8) Finland, Siberia could never survive being vegan. Desert people with camels could never be vegan. Someone in an area with no land to grow a vegetable garden or access to a grocery store could never be 100% vegan. Yes, many Americans could be more vegetarian. We are mostly vegan but do eat the eggs our hens lay, and make yogurt from family goats that we have for brush removal, and its simply because we are blessed to live in an area where we can grow a massive vegetable garden almost year round. And what we cannot grow/raise, we can get from farmers markets, Whole Foods etc. But not every American is so fortunate. Reliable reserach done over decades show that SDA (Seventh Day Adventists) are the healthiest Americans and they are vegetarians. They avoid meat. Some will eat cheese, eggs. Just not a lot.",vegnism,FAVOR,Veganism,AGAINST,Americans,FAVOR,vegetarian,NONE,"['Veganism', 'Americans', 'vegetarian']","A LOT depends on where one lives. Someone in frozen areas like Alaska, a head of lettuce is 8 Finland, Siberia could never survive being vegan. Desert people with camels could never be vegan. Someone in an area with no land to grow a vegetable garden or access to a grocery store could never be 100 vegan. Yes, many Americans could be more vegetarian. We are mostly vegan but do eat the eggs our hens lay, and make yogurt from family goats that we have for brush removal, and its simply because we are blessed to live in an area where we can grow a massive vegetable garden almost year round. And what we cannot grow raise, we can get from farmers markets, Whole Foods etc. But not every American is so fortunate. Reliable reserach done over decades show that SDA Seventh Day Adventists are the healthiest Americans and they are vegetarians. They avoid meat. Some will eat cheese, eggs. Just not a lot."
VAST Implicit,"A Palestinian majority state already exists: it's called Jordan. The quest for a second Palestinian state is a ploy to destroy Israel - which, strangely enough. most Palestinians freely admit (see Hamas). The ultra sophisticated Europeans who destroyed their Jews, either directly or by looking away - as, infamously, did the New York Times - are obsessing over Jews yet again. An equitable solution for peaceful coexistence can be found for all the people of the area - but not while Arabs still dream (the cold peace with Egypt and Jordan notwithstanding) - with the moral support of the hypocritical Europeans of destroying Israel, wholesale or piecemeal.",palestine,FAVOR,Two-state solution,AGAINST,Palestinian majority state,NONE,Israel,AGAINST,"['Two-state solution', 'Palestinian majority state', 'Israel']","A Palestinian majority state already exists it's called Jordan. The quest for a second Palestinian state is a ploy to destroy Israel - which, strangely enough. most Palestinians freely admit see Hamas . The ultra sophisticated Europeans who destroyed their Jews, either directly or by looking away - as, infamously, did the New York Times - are obsessing over Jews yet again. An equitable solution for peaceful coexistence can be found for all the people of the area - but not while Arabs still dream the cold peace with Egypt and Jordan notwithstanding - with the moral support of the hypocritical Europeans of destroying Israel, wholesale or piecemeal."
VAST Implicit,"A classic example of the anthropocentric mindset--only humans matter. How much wildlife is left in Japan and the Netherlands? Doesn't the rest of creation matter? As for Africa and the Middle East--the disaster is just beginning. Too many people, women with no rights, no jobs, religious fanatacism....it's going to get much, much worse.",anthropocentricsm,AGAINST,Anthropocentrism,AGAINST,women with no rights,AGAINST,wildlife,NONE,"['Anthropocentrism', 'women with no rights', 'wildlife']","A classic example of the anthropocentric mindset--only humans matter. How much wildlife is left in Japan and the Netherlands? Doesn't the rest of creation matter? As for Africa and the Middle East--the disaster is just beginning. Too many people, women with no rights, no jobs, religious fanatacism.it's going to get much, much worse."
VAST Implicit,"A drop in the ocean The real problem is the mountain of cheap, processed carbs consumed daily by cost-cutting and ill-informed shoppers and their families. A vast industry exists to supply giant quantities of really bad food, which our bodies were never designed to consume. These commercial interests find it very convenient to have low-fat, low-sugar, low salt campaigns to attract attention away from the real vilain. Until people learn what they should be eating, and eat a lot less than they are now, it's not going to get better.",healthier,AGAINST,Processed Food Industry,AGAINST,low-fat,FAVOR,low-sugar,AGAINST,"['Processed Food Industry', 'low-fat', 'low-sugar']","A drop in the ocean The real problem is the mountain of cheap, processed carbs consumed daily by cost-cutting and ill-informed shoppers and their families. A vast industry exists to supply giant quantities of really bad food, which our bodies were never designed to consume. These commercial interests find it very convenient to have low-fat, low-sugar, low salt campaigns to attract attention away from the real vilain. Until people learn what they should be eating, and eat a lot less than they are now, it's not going to get better."
VAST Implicit,"A fine notion, except for the fact that usually a great many people are harmed, financially and, in the case of product safety, physically, on the way to self-regulation through financial fall out. And what of products that only kill occasionally, at statistically low levels? Should predictable death rates be acceptable until and unless they rise to a volume that a law firm is willing to take on as a class action suit or that they break through to mass media coverage? Ian Adams' position is not only flawed, it is morally repugnant.",companies,AGAINST,Self-regulation,AGAINST,Ian Adams,AGAINST,financial,AGAINST,"['Self-regulation', 'Ian Adams', 'financial']","A fine notion, except for the fact that usually a great many people are harmed, financially and, in the case of product safety, physically, on the way to self-regulation through financial fall out. And what of products that only kill occasionally, at statistically low levels? Should predictable death rates be acceptable until and unless they rise to a volume that a law firm is willing to take on as a class action suit or that they break through to mass media coverage? Ian Adams' position is not only flawed, it is morally repugnant."
VAST Implicit,A friend of mines father lost his leg fighting in Germany [Battle of the Bulge]. He never owned any firearms ever after the war......and scarcely spoke of it. Having to kill others with guns changes your life forever.... That's what war does. Do we really want to make universities feel like a war zone...... If you think having a classroom of armed students is going to make learning better.... Good Luck.,,,,,war,NONE,war,AGAINST,"[nan, 'war', 'war']",A friend of mines father lost his leg fighting in Germany Battle of the Bulge . He never owned any firearms ever after the war.and scarcely spoke of it. Having to kill others with guns changes your life forever. That's what war does. Do we really want to make universities feel like a war zone. If you think having a classroom of armed students is going to make learning better. Good Luck.
VAST Implicit,"A great article. Many vegans may find themselves poised against it, but, beyond proving the scientific information in the article to be wrong, it will be very difficult to come to another conclusion than the author arrives at. Vegetarianism and veganism are mainly moralistic choices of life style, and should be presented as such. But somewhere along the way vegans decided to also try to make the argument that it's the healthier life choice, which is progressively being proven to be wrong. It's fine to decide to be a vegan. The fact that it's not the healthiest alternative only makes the moral choice more courageous. Nonetheless, I agree with the author that such decisions should not be imposed on children.",everyone,FAVOR,Veganism,AGAINST,veganism,NONE,children,AGAINST,"['Veganism', 'veganism', 'children']","A great article. Many vegans may find themselves poised against it, but, beyond proving the scientific information in the article to be wrong, it will be very difficult to come to another conclusion than the author arrives at. Vegetarianism and veganism are mainly moralistic choices of life style, and should be presented as such. But somewhere along the way vegans decided to also try to make the argument that it's the healthier life choice, which is progressively being proven to be wrong. It's fine to decide to be a vegan. The fact that it's not the healthiest alternative only makes the moral choice more courageous. Nonetheless, I agree with the author that such decisions should not be imposed on children."
VAST Implicit,A great step toward creating a permanent underclass as educated people who MIGHT be able to do a good job do not have the time due to employment demands and the unqualified who never achieved a higher education themselves are free to under-educate their spawn. Who needs discrimination if the mom working part time at McDonald's is the intellectual inspiration for the next generation?,student,FAVOR,Socioeconomic Inequality,AGAINST,education,AGAINST,discrimination,AGAINST,"['Socioeconomic Inequality', 'education', 'discrimination']",A great step toward creating a permanent underclass as educated people who MIGHT be able to do a good job do not have the time due to employment demands and the unqualified who never achieved a higher education themselves are free to under-educate their spawn. Who needs discrimination if the mom working part time at McDonald's is the intellectual inspiration for the next generation?
VAST Implicit,"A have a two word solution to the tyranny of billionaire team owners- eminent domain. The value of franchises are sky high because of the ego factor. All the billionaires want one. If they can't be moved nilly willy then they can't extract ransoms from politicians who don't want it to happen to them. Cities, counties or states can lease the rights to manage them to individuals, but they should be held in the commons. Fans pay more and more to attend games, TV audiences sit through unbearable commercials (watch a soccer game- no interruptions) cable costs escalate unendingly. The 49ers priced their blue collar fans out of their new stadium without so much as a thanks. Greed and hubris. I hope I live to see it collapse. I no longer subscribe to cable TV and are trying to wean myself off the game, as well as their minor league (NCAA) offerings.",nonprofit status,AGAINST,Billionaire Team Owners,AGAINST,eminent domain,NONE,franchise,AGAINST,"['Billionaire Team Owners', 'eminent domain', 'franchise']","A have a two word solution to the tyranny of billionaire team owners- eminent domain. The value of franchises are sky high because of the ego factor. All the billionaires want one. If they can't be moved nilly willy then they can't extract ransoms from politicians who don't want it to happen to them. Cities, counties or states can lease the rights to manage them to individuals, but they should be held in the commons. Fans pay more and more to attend games, TV audiences sit through unbearable commercials watch a soccer game- no interruptions cable costs escalate unendingly. The 49ers priced their blue collar fans out of their new stadium without so much as a thanks. Greed and hubris. I hope I live to see it collapse. I no longer subscribe to cable TV and are trying to wean myself off the game, as well as their minor league NCAA offerings."
VAST Implicit,"A lifelong New Yorker, I agree entirely with Mr. Moss about the detrimental effects of hosting the Olympics that a city suffers. Now, as a professor of urban policy and planning at New York University's Institute for Public Service, I hope he will turn his attention to the devastating effects of NYU's expansion on neighborhood life and architectural scale in our city.",trouble,AGAINST,Unknown,AGAINST,,,NYU,AGAINST,"['Unknown', nan, 'NYU']","A lifelong New Yorker, I agree entirely with Mr. Moss about the detrimental effects of hosting the Olympics that a city suffers. Now, as a professor of urban policy and planning at New York University's Institute for Public Service, I hope he will turn his attention to the devastating effects of NYU's expansion on neighborhood life and architectural scale in our city."
VAST Implicit,"A lot of folks have their head in the sand re pot usage. I believe we'll see long-term damage to society and public health from widespread use. Just as tobacco studies took years to prove cancer correlation, I believe time will show the harmful results of these rushes to legalization. The deniers will continue to push the same arguments: prohibition is bad; there's no proof of ill effects, etc., etc., but truth will prevail and be validated by time passing.",marijuana,AGAINST,Marijuana Legalization,AGAINST,pot usage,AGAINST,prohibition,AGAINST,"['Marijuana Legalization', 'pot usage', 'prohibition']","A lot of folks have their head in the sand re pot usage. I believe we'll see long-term damage to society and public health from widespread use. Just as tobacco studies took years to prove cancer correlation, I believe time will show the harmful results of these rushes to legalization. The deniers will continue to push the same arguments prohibition is bad there's no proof of ill effects, etc., etc., but truth will prevail and be validated by time passing."
VAST Implicit,"A lower tax rate on unearned income than on income earned from work is an insult to all working Americans. No matter how much blah-blah people from the Cato Institute and other dens of traitors spew, lower taxes or -- Zounds! -- NO taxes on coupon-clipping is a throwback to the days of the nobility expecting us peasant to step into the gutter and touch our caps when their Lordships passed by. Get out of my country, Miron. Go someplace like Monaco. You'll like it better there.",capital gains,AGAINST,Lower tax rate on unearned income,AGAINST,Cato Institute,AGAINST,lower tax rate,AGAINST,"['Lower tax rate on unearned income', 'Cato Institute', 'lower tax rate']","A lower tax rate on unearned income than on income earned from work is an insult to all working Americans. No matter how much blah-blah people from the Cato Institute and other dens of traitors spew, lower taxes or -- Zounds! -- NO taxes on coupon-clipping is a throwback to the days of the nobility expecting us peasant to step into the gutter and touch our caps when their Lordships passed by. Get out of my country, Miron. Go someplace like Monaco. You'll like it better there."
VAST Implicit,"A note regarding reparations for slavery: The West African slave trade was driven largely by internecine tribal warfare, in the course of which captured soldiers and civilians would often be sold as human chattel. European countries, followed by their western colonies, profited from this trade for several hundred years....a blot on their history, no doubt. But when they discontinued their part in the trade, and actively (in the case of Britain) sought to suppress it, there was an angry reaction from the indigenous rulers of West Africa, because slavery was the mainstay of their economies. The trade continued unabated (if perhaps less lucratively), as slaves were sold to the North African and Arab states, right up to the 1960s. The inter-African and Arab slave markets (exemplified by the famous slave market of Zanzibar) had in any case been the primary destination for West African slaves since time immemorial. So if there is to be compensation, perhaps it should come first from Ghana, Benin, Cote d'Ivoire and other West African countries....that is, from the descendants of those who sold so many of their so-called brothers and sisters into bondage, for as long as the rest of the world allowed it.",former colonial powers,AGAINST,Reparations for Slavery,AGAINST,West African countries,NONE,West African slave trade,NONE,"['Reparations for Slavery', 'West African countries', 'West African slave trade']","A note regarding reparations for slavery The West African slave trade was driven largely by internecine tribal warfare, in the course of which captured soldiers and civilians would often be sold as human chattel. European countries, followed by their western colonies, profited from this trade for several hundred years.a blot on their history, no doubt. But when they discontinued their part in the trade, and actively in the case of Britain sought to suppress it, there was an angry reaction from the indigenous rulers of West Africa, because slavery was the mainstay of their economies. The trade continued unabated if perhaps less lucratively , as slaves were sold to the North African and Arab states, right up to the 1960s. The inter-African and Arab slave markets exemplified by the famous slave market of Zanzibar had in any case been the primary destination for West African slaves since time immemorial. So if there is to be compensation, perhaps it should come first from Ghana, Benin, Cote d'Ivoire and other West African countries.that is, from the descendants of those who sold so many of their so-called brothers and sisters into bondage, for as long as the rest of the world allowed it."
